Identifier,Value,Digikey Part Number
U1,,568-10437-5-ND
U2,,768-1135-1-ND
VR1,,LM3940IMP-3.3/NOPBCT-ND
"S1, S2",,2223-SLW-1678105-6A-N-D-ND
Y1,,535-9887-1-ND
Y2,,50-ECX-.327-CDX-1293CT-ND
"U3, U4, U5, U6, U7, U8",,296-14857-1-ND
U9,,MCP7940MT-I/SNCT-ND
R12,,2223-PT01-B120D-B102-ND
U13,,MCP9808T-E/MSCT-ND
"U15, U16",,296-23978-1-ND
U14,,AP2192ASG-13DICT-ND
"J1, J2, J3",,ED2989-ND
"SW1, SW2, SW3",,EG5353CT-ND
"C1, C2",16p,311-4228-1-ND
"C10, C6, C7, C13",1u,1276-1029-1-ND
"C11, C12",47p,311-1107-1-ND
"C3, C4",18p,311-1102-1-ND
"C5, C8, C9",100u,490-GRM21BR60G107ME11KCT-ND
"D1, D2, D3, D4",,475-LSR976-NR-1CT-ND
"R1, R10, R14, R19, R4, R5, R6, R7, R8, R9",10k,RR12P10.0KDCT-ND
R11,10,311-10.0CRCT-ND
R13,15k,A126341CT-ND
"R15, R16",2m,RHM.002AJCT-ND
"R17, R18, R20",0,P0.0ACT-ND
"R2, R3",27,311-27.0CRCT-ND
R21,15,RMCF0805FT15R0CT-ND
